文件,作物,因变量,R-squared,MAE,MSE,RMSE,样本数
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,citrus,NPK,0.16,1.523,3.393,1.842,72
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,citrus,PK,0.081,0.405,0.271,0.521,72
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,citrus,NK,0.067,1.023,1.614,1.27,72
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,citrus,CK,0.109,0.894,1.235,1.111,72
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,citrus,OF,0.255,0.803,1.271,1.127,72
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,corn,NPK,0.405,2.004,5.898,2.429,69
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,corn,PK,0.573,0.51,0.433,0.658,69
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,corn,NK,0.358,2.174,5.88,2.425,69
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,corn,CK,0.339,0.543,0.459,0.677,69
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,corn,OF,0.297,1.319,3.503,1.872,69
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,rice,NPK,0.117,1.646,3.771,1.942,69
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,rice,PK,0.093,0.26,0.094,0.307,69
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,rice,NK,0.129,1.785,3.959,1.99,69
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,rice,CK,0.137,0.208,0.08,0.283,69
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,rice,OF,0.099,0.917,1.471,1.213,69
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,vegetable,NPK,0.067,1.166,2.312,1.521,60
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,vegetable,PK,0.148,0.34,0.16,0.4,60
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,vegetable,NK,0.26,1.091,2.118,1.455,60
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,vegetable,CK,0.181,0.337,0.164,0.405,60
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,vegetable,OF,0.227,0.842,0.882,0.939,60
