文件,作物,因变量,R-squared,MAE,MSE,RMSE,样本数
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,citrus,NPK,0.04,1.108,1.547,1.244,72
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,citrus,PK,0.165,0.424,0.304,0.551,72
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,citrus,NK,0.074,1.043,1.729,1.315,72
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,citrus,CK,0.178,0.248,0.116,0.341,72
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,citrus,OF,0.05,0.721,0.904,0.951,72
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,corn,NPK,0.359,1.202,2.317,1.522,69
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,corn,PK,0.305,0.316,0.167,0.409,69
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,corn,NK,0.317,1.464,2.837,1.684,69
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,corn,CK,0.509,0.283,0.115,0.339,69
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,corn,OF,0.333,0.829,1.196,1.094,69
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,rice,NPK,0.287,0.418,0.298,0.546,69
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,rice,PK,0.206,0.198,0.07,0.265,69
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,rice,NK,0.205,0.555,0.411,0.641,69
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,rice,CK,0.222,0.155,0.039,0.197,69
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,rice,OF,0.241,0.352,0.191,0.437,69
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,vegatable,NPK,0.089,1.567,3.322,1.823,60
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,vegatable,PK,0.251,0.431,0.292,0.54,60
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,vegatable,NK,0.106,1.636,4.32,2.078,60
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,vegatable,CK,0.195,0.466,0.422,0.65,60
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,vegatable,OF,0.129,1.436,3.347,1.829,60
