文件,作物,因变量,R-squared,MAE,MSE,RMSE,样本数
Water_sample_runoff_Vegetables_Total_Phosphorus.csv,Vegetables,NPK,0.132,0.169,0.051,0.226,60
Water_sample_runoff_Vegetables_Total_Phosphorus.csv,Vegetables,PK,0.167,0.196,0.071,0.266,60
Water_sample_runoff_Vegetables_Total_Phosphorus.csv,Vegetables,NK,0.231,0.033,0.002,0.045,60
Water_sample_runoff_Vegetables_Total_Phosphorus.csv,Vegetables,CK,0.322,0.039,0.005,0.071,60
Water_sample_runoff_Vegetables_Total_Phosphorus.csv,Vegetables,OF,0.201,0.083,0.011,0.105,60
Water_sample_runoff_citrus_Total_Phosphorus.csv,citrus,NPK,0.064,0.147,0.035,0.187,72
Water_sample_runoff_citrus_Total_Phosphorus.csv,citrus,PK,0.261,0.186,0.046,0.214,72
Water_sample_runoff_citrus_Total_Phosphorus.csv,citrus,NK,0.049,0.035,0.002,0.045,72
Water_sample_runoff_citrus_Total_Phosphorus.csv,citrus,CK,0.124,0.051,0.004,0.063,72
Water_sample_runoff_citrus_Total_Phosphorus.csv,citrus,OF,0.167,0.118,0.021,0.145,72
Water_sample_runoff_corn_Total_Phosphorus.csv,corn,NPK,0.353,0.165,0.045,0.212,69
Water_sample_runoff_corn_Total_Phosphorus.csv,corn,PK,0.306,0.148,0.034,0.184,69
Water_sample_runoff_corn_Total_Phosphorus.csv,corn,NK,0.411,0.03,0.002,0.045,69
Water_sample_runoff_corn_Total_Phosphorus.csv,corn,CK,0.326,0.04,0.002,0.045,69
Water_sample_runoff_corn_Total_Phosphorus.csv,corn,OF,0.27,0.109,0.02,0.141,69
Water_sample_runoff_rice_Total_Phosphorus.csv,rice,NPK,0.141,0.281,0.098,0.313,69
Water_sample_runoff_rice_Total_Phosphorus.csv,rice,PK,0.131,0.286,0.106,0.326,69
Water_sample_runoff_rice_Total_Phosphorus.csv,rice,NK,0.102,0.027,0.001,0.032,69
Water_sample_runoff_rice_Total_Phosphorus.csv,rice,CK,0.105,0.038,0.002,0.045,69
Water_sample_runoff_rice_Total_Phosphorus.csv,rice,OF,0.098,0.184,0.067,0.259,69
